Metric,Value
Write Rate (MB/s),581.1037969658174
IOPS Saved Ratio,0.10677506775067751
Service Time Saved Ratio,0.09583088746641297
Hit Rate (Hz),0.02248107218754477
AP Threshold,1.0
AP Probability,0.508154
Cache Size (GB),366.475
Wasted,2799797
Evictions,2807877
Filename,../../runs/example/dt-slru/acceptall-1_lru_366.475GB/full_0_0.1_cache_perf.txt.lzma
Avg Eviction Age (Logical),3.105295922862718
Avg Eviction Age (s),10.248797078687634
Max Max Interarrival Time (Logical),26.577076272965243
Max Max Interarrival Time (s),109.73813672151171
Avg Max Interarrival Time (Logical),26.577076272965243
Avg Max Interarrival Time (s),109.73813672151171
AdmissionPolicy,AcceptAll
AdmitBufferSize,512
SamplingRatio,0.1
SampleRatio,0.1
SampleStart,0.0
Total IOPS,127305
PrefetchWhenThreshold,
ApOpt,acceptall
SimApOpt,acceptall
SimJobId,
LogInterval,600.0
NumCacheElems,3002
ServiceTimeTotalOrig,4171.652604895105
TotalIOPSSaved,13593
TotalIOPSSavedOnly,0
TotalIOPSPartialHits,3188
IOPSSavedRatio,0.10677506775067751
IOPSSavedOnlyRatio,0.0
IOPSPartialHitsRatio,0.025042221436707122
TotalChunkHits,286668
TotalChunkSaved,278511
ChunkHitRatio,0.09254680963575682
TotalIOPSSavedAdmitBuffer,0
TotalIOPSSavedAdmitBufferOnly,0
TotalIOPSPartialHitsAdmitBuffer,0
IOPSSavedAdmitBufferRatio,0.0
IOPSSavedAdmitBufferOnlyRatio,0.0
IOPSPartialHitsAdmitBufferRatio,0.0
TotalChunkHitsAdmitBuffer,0
TotalChunkSavedAdmitBuffer,0
ChunkHitAdmitBufferRatio,0.0
TotalIOPSSavedFlash,13593
TotalIOPSSavedFlashOnly,13593
TotalIOPSPartialHitsFlash,3188
IOPSSavedFlashRatio,0.10677506775067751
IOPSSavedFlashOnlyRatio,0.10677506775067751
IOPSPartialHitsFlashRatio,0.025042221436707122
TotalChunkHitsFlash,286668
TotalChunkSavedFlash,0
ChunkHitFlashRatio,0.09254680963575682
TotalIOPSSavedRamPrefetch,0
TotalIOPSSavedRamPrefetchOnly,0
TotalIOPSPartialHitsRamPrefetch,0
IOPSSavedRamPrefetchRatio,0.0
IOPSSavedRamPrefetchOnlyRatio,0.0
IOPSPartialHitsRamPrefetchRatio,0.0
TotalChunkHitsRamPrefetch,0
TotalChunkSavedRamPrefetch,0
ChunkHitRamPrefetchRatio,0.0
TotalIOPSSavedRamPrefetchFirstHit,0
TotalIOPSSavedRamPrefetchFirstHitOnly,0
TotalIOPSPartialHitsRamPrefetchFirstHit,0
IOPSSavedRamPrefetchFirstHitRatio,0.0
IOPSSavedRamPrefetchFirstHitOnlyRatio,0.0
IOPSPartialHitsRamPrefetchFirstHitRatio,0.0
TotalChunkHitsRamPrefetchFirstHit,0
TotalChunkSavedRamPrefetchFirstHit,0
ChunkHitRamPrefetchFirstHitRatio,0.0
TotalIOPSSavedFlashNotInRam,13593
TotalIOPSSavedFlashNotInRamOnly,0
TotalIOPSPartialHitsFlashNotInRam,3188
IOPSSavedFlashNotInRamRatio,0.10677506775067751
IOPSSavedFlashNotInRamOnlyRatio,0.0
IOPSPartialHitsFlashNotInRamRatio,0.025042221436707122
TotalChunkHitsFlashNotInRam,286668
TotalChunkSavedFlashNotInRam,0
ChunkHitFlashNotInRamRatio,0.09254680963575682
TotalIOPSSavedFlashPrefetch,0
TotalIOPSSavedFlashPrefetchOnly,0
TotalIOPSPartialHitsFlashPrefetch,0
IOPSSavedFlashPrefetchRatio,0.0
IOPSSavedFlashPrefetchOnlyRatio,0.0
IOPSPartialHitsFlashPrefetchRatio,0.0
TotalChunkHitsFlashPrefetch,0
TotalChunkSavedFlashPrefetch,0
ChunkHitFlashPrefetchRatio,0.0
TotalIOPSSavedFlashPrefetchFirstHit,0
TotalIOPSSavedFlashPrefetchFirstHitOnly,0
TotalIOPSPartialHitsFlashPrefetchFirstHit,0
IOPSSavedFlashPrefetchFirstHitRatio,0.0
IOPSSavedFlashPrefetchFirstHitOnlyRatio,0.0
IOPSPartialHitsFlashPrefetchFirstHitRatio,0.0
TotalChunkHitsFlashPrefetchFirstHit,0
TotalChunkSavedFlashPrefetchFirstHit,0
ChunkHitFlashPrefetchFirstHitRatio,0.0
TotalIOPSSavedRam,0
TotalIOPSSavedRamOnly,0
TotalIOPSPartialHitsRam,0
IOPSSavedRamRatio,0.0
IOPSSavedRamOnlyRatio,0.0
IOPSPartialHitsRamRatio,0.0
TotalChunkHitsRam,0
TotalChunkSavedRam,0
ChunkHitRamRatio,0.0
TotalFlashQueries,3097546
FlashCacheHitRate,0.09254680963575682
ClientBandwidth,640.367793222004
FlashWriteRate,581.1037969658174
FlashPrefetchWriteRate,0.0
TotalChunkWritten,2810878
FlashChunkWritten,2810878
RamWriteRate,0
RamChunkWritten,0
RamPrefetchWriteRate,0
AvgMaxInterarrivalTime,"[26.577076272965243, 109.73813672151171]"
MaxMaxInterarrivalTime,"[26.577076272965243, 109.73813672151171]"
WarmupFinished,"[278, 1572075162.876193]"
AvgMaxInterarrivalTimeEvicted,"[0.06445189728752364, 0.19555633348078338]"
AvgEvictionAge,"[3.105295922862718, 10.248797078687634]"
